Ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
55.7558,37.6173,157,0,0,0,0,0,0
command type,yaw (deg/s),pitch (deg/s),roll (deg/s),vx_body (m/s/s),vy_body (m/s/s),vz_body (m/s/s),command duration (s),GPS visibility
1,-30,57,171,0.002129803193,0.00004231678444,0,2.802590478,0
1,15,-1,153,-0.003189834191,0.004542697871,0,2.406015458,0
1,19,-88,56,-0.08469451201,0.09713060712,-0.05171671405,1.468649491,0
1,143,-22,-22,-0.01354407541,0.0113660123,0.03756139213,1.35236177,0
1,-129,37,-130,0.09082313061,0,-0.01315066104,0.3876589315,0
1,10,65,74,0,0.0224563431,0.09007598477,0.1127252763,0
1,-107,74,175,0.0502521195,0,0.09709406137,0.9599689904,0
1,-48,34,-164,-0.007360429922,0,0,0.3177909584,0
1,-108,-74,-10,-0.0009886831739,0.03861500973,0,0.4776265361,0
1,131,-72,-18,0.004991470198,0,-0.01437219923,1.248693381,0
1,-87,-41,126,0,0.02770388865,0,0.9183648583,0
1,-106,-64,-35,-0.03638667586,0,0.01173591059,2.749381058,0
1,-75,-67,-159,0,0,0,0.4160482242,0
1,156,28,-22,0.123818412,-0.06787992415,0.01531921418,0.782552837,0
1,2,-25,14,-0.0000005623121949,0,-0.1160498521,0.5516831046,0
1,-54,31,-84,0.0001848282324,0,0.06598561082,0.9987517045,0
1,-57,76,144,0,0.01051301177,0,0.01616956853,0
1,154,43,-59,0,-0.01574568866,-0.02843771488,0.9680951088,0
1,-42,15,79,0.02290810585,0,-0.08865637943,1.620539643,0
1,131,-29,-47,-0.005115062128,0.0007477531289,0,0.6642277687,0
1,58,85,-175,-0.06089680293,0.006736328643,-0.04863260797,0.4889817607,0
1,99,-79,-22,-0.001040911081,0.07792798799,0.08636279198,1.173963328,0
1,26,-71,114,0,0.01856031004,0.08292380885,2.73155416,0
1,178,-85,-94,0.004844725633,0.001276827041,0.0828849741,0.9004565744,0
1,-30,-7,24,-0.004539950208,0.001177230433,0,0.178485058,0
1,92,-71,-29,0,-0.01753461802,-0.06598959545,1.354111472,0
1,30,-82,-66,0,0.07289135712,0.02015464433,0.255961224,0
1,-110,-61,-151,0.01152414722,-0.005702730982,-0.0000000004132419243,0.2240804353,0
1,-102,26,-98,0,0.008261194034,0,1.018153608,0
1,28,-66,23,0.08020050751,0.07446202901,0,0.3588304134,0
1,-87,16,-171,0.0000005361996677,0,-0.007252441966,0.7930106511,0
1,172,35,-109,0,0.0005840993876,0,0.2296220658,0
1,-126,88,-142,0,0,-0.09216768312,2.539501112,0
1,-44,8,-133,0.0002118575916,-0.02064307743,-0.005269958887,1.775326293,0
1,-173,52,120,0,0,-0.05698429722,0.4885414112,0
1,58,66,128,0,-0.0264018498,0.02388597303,0.5868554778,0
1,-47,-7,173,0,0.07230394406,0,0.901899063,0
1,-154,-45,158,0,-0.01309414669,0.001418362438,0.8405887729,0
1,-25,-68,-3,0.0001184565021,-0.07823103991,0,0.3959271508,0
1,-95,-44,-8,0,0,0,0.7695429489,0
1,-145,-12,160,-0.0001897337259,0,-0.004388202225,1.373771259,0
1,166,22,101,0.02554359432,0.0007668166618,0,0.1779512189,0
1,132,-60,91,0.001175652164,0.001188406406,0.02177241897,0.745657604,0
1,-10,11,-112,-0.0000489759372,0.06469250842,0.06248058774,2.371113285,0
1,174,-36,-15,-0.08538371054,0.03177636722,0,0.8126358698,0
1,-94,72,36,0,-0.04519960382,0.0000196103361,1.557616811,0
1,-136,37,-67,0,-0.08135804788,0.004211884883,2.751145179,0
1,-41,25,0,-0.07316777834,0.0004929140049,0,2.532202939,0
1,159,60,-79,-0.01277874446,-0.06716207105,-0.05038521703,1.53040901,0
1,-11,-70,50,-0.02649372699,-0.04676942611,-0.008079144317,2.451087079,0
1,-38,67,-42,-0.06601817016,0,0.0000507078212,1.132546902,0
1,178,56,170,0,0.00332965114,0,2.642919366,0
1,118,32,-160,0.01873054314,-0.02053092147,0,0.2156269969,0
1,-12,-40,123,-0.002468407943,-0.06090767564,0,0.7635500051,0
1,-83,30,164,0.005518208381,0,-0.05964399851,1.802338066,0
1,160,18,-118,-0.1117336906,-0.0007980411598,-0.09404851878,1.887824419,0
1,152,-70,-109,-0.0502368089,0,0.004109383537,2.043055732,0
1,-38,-79,-180,-0.009595542783,-0.04265885943,0.003508513193,0.5853101821,0
1,-11,-67,34,-0.0582990786,-0.00449324894,0.03477118586,0.3500918291,0
1,-66,88,-106,0.0000000003053238482,0.006041478438,-0.04666371157,1.610232379,0
1,67,-13,-113,0.07981165518,-0.01743177076,0.0001067864222,0.7148297481,0
1,-165,-76,-174,-0.0006944429575,0,0.04701545873,0.6404616806,0
1,-12,-64,-115,0.002371695846,-0.04215890913,0.02190815157,0.605213182,0
1,-40,45,-88,0.003332464048,0.0380319648,-0.008146250945,0.527885985,0
1,-111,72,43,-0.00004034490537,0.05881132986,-0.008363501966,0.3006123096,0
1,-52,72,-1,0.0394764469,0,-0.002318525301,0.2577040479,0
1,6,23,160,0.008043891418,0,-0.0005969151869,0.6423304479,0
1,32,24,-10,-0.04218329588,0,-0.006527879571,1.46668139,0
1,-17,-67,-107,-0.03841082054,0.01992204427,0,2.251659651,0
1,-41,81,114,0.02278107712,-0.0003857517741,0,0.02552723619,0
1,-10,-41,-98,0,0,0.06302962981,1.385890662,0
1,-92,78,-3,-0.005896680383,-0.001184758634,0,1.147520866,0
1,-153,-46,-64,-0.08342032927,-0.01818205317,0.01624719205,1.228468206,0
1,46,51,-58,0.0002416863232,-0.1126442406,0,0.7042739381,0
1,-74,29,31,0,0,0.002169123129,0.4614300188,0
1,172,-9,-4,-0.0006335848688,-0.001536423428,-0.05968213773,0.4500769762,0
1,138,75,-159,0.001424584033,0.01108136571,-0.02136097761,0.1214347224,0
1,70,21,-115,0.00382961588,-0.003469693235,0.003181488546,1.942027774,0
