# Model Roll	Model Pitch 	Ref Roll 	Ref Pitch
-1.146290740966796875e+02	8.352589416503906250e+01	-1.763598790121353659e+02	7.355770657473156859e+01
-1.131764907836914062e+02	8.419446563720703125e+01	-1.755048911109191465e+02	7.401093591725698673e+01
-1.116908264160156250e+02	8.489024353027343750e+01	-1.746484019998245572e+02	7.446384232552985338e+01
-1.101627502441406250e+02	8.561334228515625000e+01	-1.737905617998394234e+02	7.491645809297540382e+01
-1.085449066162109375e+02	8.634472656250000000e+01	-1.729315056198527714e+02	7.536881228367640517e+01
-1.066659088134765625e+02	8.703777313232421875e+01	-1.720713550578648210e+02	7.582093105530735500e+01
-1.043569564819335938e+02	8.768372344970703125e+01	-1.712102195520756425e+02	7.627283794977519449e+01
-1.015550689697265625e+02	8.828681182861328125e+01	-1.703481975968653899e+02	7.672455415479628016e+01
-9.829829406738281250e+01	8.882601165771484375e+01	-1.694853778371761734e+02	7.717609873931517939e+01
-9.459687805175781250e+01	8.929027557373046875e+01	-1.686218400534558555e+02	7.762748886538226145e+01
-9.046369934082031250e+01	8.968457794189453125e+01	-1.677576560481075774e+02	7.807873997884257733e+01
-8.594841766357421875e+01	9.001970672607421875e+01	-1.668928904432941351e+02	7.852986598095685622e+01
-8.112171936035156250e+01	9.030931854248046875e+01	-1.660276013989620481e+02	7.898087938285971177e+01
-7.606985473632812500e+01	9.056858825683593750e+01	-1.651618412590631522e+02	7.943179144457231189e+01
-7.088486480712890625e+01	9.081267547607421875e+01	-1.642956571331541511e+02	7.988261230011364944e+01
-6.565476989746093750e+01	9.105537414550781250e+01	-1.634290914198360838e+02	8.033335107010083220e+01
-6.043144607543945312e+01	9.125822448730468750e+01	-1.625621822778497858e+02	8.078401596308934529e+01
-5.519275283813476562e+01	9.142653656005859375e+01	-1.616949640500621399e+02	8.123461436677898462e+01
-4.990848159790039062e+01	9.158392333984375000e+01	-1.608274676450532468e+02	8.168515293009964751e+01
-4.454473495483398438e+01	9.172932434082031250e+01	-1.599597208805452340e+02	8.213563763708820886e+01
-3.905982208251953125e+01	9.182730102539062500e+01	-1.590917487924880049e+02	8.258607387337799821e+01
-3.352103042602539062e+01	9.185374450683593750e+01	-1.582235739132365211e+02	8.303646648603877622e+01
-2.798345375061035156e+01	9.180915832519531250e+01	-1.573552165219101937e+02	8.348681983743344404e+01
-2.252201461791992188e+01	9.169808959960937500e+01	-1.564866948697164730e+02	8.393713785368868230e+01
-1.720888900756835938e+01	9.152645111083984375e+01	-1.556180253827421609e+02	8.438742406831839560e+01
-1.210117053985595703e+01	9.130051422119140625e+01	-1.547492228444652653e+02	8.483768166148512080e+01
-7.234654426574707031e+00	9.102636718750000000e+01	-1.538803005600160816e+02	8.528791349533521782e+01
-2.606524944305419922e+00	9.071303558349609375e+01	-1.530112705040118044e+02	8.573812214580030400e+01
1.815872669219970703e+00	9.036502075195312500e+01	-1.521421434536079289e+02	8.618830993121886763e+01
6.027925968170166016e+00	8.998448944091796875e+01	-1.512729291082444547e+02	8.663847893809553113e+01
1.001568508148193359e+01	8.956473541259765625e+01	-1.504036361974173417e+02	8.708863104428455415e+01
1.376368808746337891e+01	8.911206817626953125e+01	-1.495342725776729367e+02	8.753876793985470783e+01
1.729969406127929688e+01	8.864217376708984375e+01	-1.486648453199029518e+02	8.798889114586785354e+01
2.065922164916992188e+01	8.817237091064453125e+01	-1.477953607879099707e+02	8.843900203127962811e+01
2.386951828002929688e+01	8.771356201171875000e+01	-1.469258247091162843e+02	8.888910182815028804e+01
2.695253372192382812e+01	8.727194213867187500e+01	-1.460562422382020031e+02	8.933919164533385526e+01
2.992523193359375000e+01	8.685063171386718750e+01	-1.451866180143791212e+02	8.978927248079904189e+01
3.280020904541015625e+01	8.645092773437500000e+01	3.568304378706147872e+01	8.976065476728230408e+01
3.558640670776367188e+01	8.607312011718750000e+01	3.655273940835801483e+01	8.931058929055548390e+01
3.828996658325195312e+01	8.571702575683593750e+01	3.742246546752488712e+01	8.886053036150131845e+01
4.078229141235351562e+01	8.537563323974609375e+01	3.829221892077508471e+01	8.841047732535260195e+01
4.290776443481445312e+01	8.503865814208984375e+01	3.916199702870024879e+01	8.796042959281871276e+01
4.473377227783203125e+01	8.470627593994140625e+01	4.003179732583290473e+01	8.751038663353824631e+01
4.632346343994140625e+01	8.437873077392578125e+01	4.090161759325228275e+01	8.706034797018587312e+01
4.772841262817382812e+01	8.405348968505859375e+01	4.177145583392973549e+01	8.661031317316867728e+01
4.898928070068359375e+01	8.372720336914062500e+01	4.264131025053942636e+01	8.616028185585327037e+01
5.013784408569335938e+01	8.339644622802734375e+01	4.351117922548817063e+01	8.571025367026935271e+01
5.119891738891601562e+01	8.305816650390625000e+01	4.438106130294201535e+01	8.526022830324383506e+01
5.219195556640625000e+01	8.270993804931640625e+01	4.525095517265049949e+01	8.481020547292084188e+01
5.313231277465820312e+01	8.235001373291015625e+01	4.612085965538811649e+01	8.436018492563012217e+01
5.403218841552734375e+01	8.197735595703125000e+01	4.699077368985198433e+01	8.391016643306851108e+01
5.490136718750000000e+01	8.159155273437500000e+01	4.786069632086947223e+01	8.346014978976302245e+01
5.574773025512695312e+01	8.119266510009765625e+01	4.873062668878520043e+01	8.301013481078817335e+01
5.657762908935546875e+01	8.078118133544921875e+01	4.960056401990936337e+01	8.256012132971075346e+01
5.739619064331054688e+01	8.035784912109375000e+01	5.047050761792110052e+01	8.211010919674110653e+01
5.820755767822265625e+01	7.992358398437500000e+01	5.134045685613166654e+01	8.166009827706838564e+01
5.901504135131835938e+01	7.947940063476562500e+01	5.221041117052116931e+01	8.121008844936294224e+01
5.982125091552734375e+01	7.902630615234375000e+01	5.308037005347173221e+01	8.076007960442802869e+01
6.062825012207031250e+01	7.856528472900390625e+01	5.395033304812723429e+01	8.031007164398664600e+01
6.143298339843750000e+01	7.809239959716796875e+01	5.482029974331719302e+01	7.986006447958934018e+01
6.222731399536132812e+01	7.759670257568359375e+01	5.569026976898813786e+01	7.941005803163177745e+01
6.301321029663085938e+01	7.707675170898437500e+01	5.656024279209201211e+01	7.896005222846996219e+01
6.379300308227539062e+01	7.653717803955078125e+01	5.743021851288549584e+01	7.851004700562440064e+01
6.456958770751953125e+01	7.598178100585937500e+01	5.830019666159962100e+01	7.806004230506337649e+01
6.534577178955078125e+01	7.541361236572265625e+01	5.917017699544233977e+01	7.761003807455841752e+01
6.612413024902343750e+01	7.483501434326171875e+01	6.004015929590079281e+01	7.716003426710396695e+01
6.690686035156250000e+01	7.424776458740234375e+01	6.091014336631339887e+01	7.671003084039499242e+01
6.769580078125000000e+01	7.365313720703125000e+01	6.178012902968472986e+01	7.626002775635693354e+01
6.849242401123046875e+01	7.305199432373046875e+01	6.265011612671894170e+01	7.581002498072267315e+01
6.929788208007812500e+01	7.244496917724609375e+01	6.352010451404972002e+01	7.536002248265180015e+01
7.011307525634765625e+01	7.183243560791015625e+01	6.439009406264742097e+01	7.491002023438799995e+01
